occ_pnadc,ind_pnadc,cbo_dom
0,0,0
0,1101,0
0,1102,0
0,1103,0
0,1104,0
0,1105,0
0,1106,0
0,1107,0
0,1108,0
0,1109,0
0,1110,0
0,1111,0
0,1112,0
0,1113,0
0,1114,0
0,1115,0
0,1116,0
0,1117,0
0,1118,0
0,1119,0
0,1201,0
0,1202,0
0,1203,0
0,1204,0
0,1205,0
0,1206,0
0,1207,0
0,1208,0
0,1209,0
0,1401,0
0,1402,0
0,1500,0
0,1999,0
0,2000,0
0,3001,0
0,3002,0
0,5000,0
0,6000,0
0,7001,0
0,7002,0
0,8001,0
0,8002,0
0,8009,0
0,8999,0
0,9000,0
0,10010,0
0,10021,0
0,10022,0
0,10030,0
0,10091,0
0,10092,0
0,10093,0
0,10099,0
0,10999,0
0,11000,0
0,12000,0
0,13001,0
0,13002,0
0,13999,0
0,14001,0
0,14002,0
0,14999,0
0,15011,0
0,15012,0
0,15020,0
0,16001,0
0,16002,0
0,17001,0
0,17002,0
0,17999,0
0,18000,0
0,19010,0
0,19020,0
0,19030,0
0,20010,0
0,20020,0
0,20090,0
0,20999,0
0,21000,0
0,22010,0
0,22020,0
0,23010,0
0,23091,0
0,23099,0
0,24001,0
0,24002,0
0,24003,0
0,24999,0
0,25001,0
0,25002,0
0,26010,0
0,26020,0
0,26030,0
0,26041,0
0,26042,0
0,26999,0
0,27010,0
0,27090,0
0,27999,0
0,28000,0
0,29001,0
0,29002,0
0,30010,0
0,30020,0
0,30030,0
0,30090,0
0,30999,0
0,31000,0
0,32001,0
0,32002,0
0,32003,0
0,32009,0
0,32999,0
0,33001,0
0,33002,0
0,35010,0
0,35021,0
0,35022,0
0,36000,0
0,37000,0
0,38000,0
0,39000,0
0,41000,0
0,42000,0
0,43000,0
0,43999,0
0,45010,0
0,45020,0
0,45030,0
0,45040,0
0,48010,0
0,48020,0
0,48030,0
0,48041,0
0,48042,0
0,48050,0
0,48060,0
0,48071,0
0,48072,0
0,48073,0
0,48074,0
0,48075,0
0,48076,0
0,48077,0
0,48078,0
0,48079,0
0,48080,0
0,48090,0
0,48100,0
0,48999,0
0,49010,0
0,49030,0
0,49040,0
0,49090,0
0,49999,0
0,50000,0
0,51000,0
0,52010,0
0,52020,0
0,53001,0
0,53002,0
0,55000,0
0,56011,0
0,56012,0
0,56020,0
0,56999,0
0,58000,0
0,59000,0
0,60001,0
0,60002,0
